customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1775-UIK,Male,0,No,Yes,7,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),62.65,428.93,No
9226-VLR,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,108.24,7353.37,No
4152-WOY,Female,1,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),93.1,6520.83,Yes
2585-XRF,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.49,1289.45,Yes
4943-YUM,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.5,932.0,No
8555-ZXT,Male,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,81.64,888.3,No
4073-AAA,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.26,66.4,No
2021-BDH,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,114.68,4463.55,No
4843-CGO,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.02,1881.98,No
8989-DJV,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.74,1197.3,Yes
7873-EMC,Female,1,No,No,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,61.75, ,No
6675-FPJ,Male,0,Yes,No,12,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,58.79,699.62,No
1161-GSQ,Male,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.29,1145.68,No
5297-HVX,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,99.75,5184.75,No
1995-IYE,Female,1,Yes,Yes,41,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,70.75,2909.44,No
8629-JBL,Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),100.2,2397.05,No
2016-KES,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.65,806.63,Yes
8869-LHZ,Female,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.73,1304.66,No
7439-MKG,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,87.61,1759.36,No
8892-NNN,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.66,1175.25,No
7863-OQU,Male,1,No,No,51,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,68.14,3483.21,No
8916-PTB,Male,1,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,91.23,5646.98,No
9529-QWI,Male,1,Yes,No,53,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,118.4,6282.84,No
1878-RZP,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),102.83,934.57,Yes
5887-SCW,Male,1,Yes,Yes,58,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),113.02,6547.1,No
5859-TFD,Male,1,No,No,7,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,81.79,569.79,Yes
7331-UIK,Male,1,Yes,No,50,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.45,3729.77,Yes
9571-VLR,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.08,81.23,Yes
9684-WOY,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.0,3848.75,No
8208-XRF,Female,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),50.48,549.12,No
6276-YUM,Male,1,No,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,100.05,2303.84,Yes
3062-ZXT,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,94.97,4172.1,No
1064-AAA,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.69,1016.7,Yes
9006-BDH,Female,1,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,72.0,3737.11,No
3568-CGO,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.12,389.27,Yes
6463-DJV,Female,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.46,1187.93,No
3027-EMC,Female,1,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.82,1193.81,No
3695-FPJ,Female,1,Yes,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,97.3,3508.09,Yes
6258-GSQ,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.82,891.36,No
6618-HVX,Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.03,6617.22,No
7736-IYE,Female,0,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.78,774.84,No
1391-JBL,Female,0,Yes,Yes,22,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,57.58,1273.29,No
6892-KES,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),70.29,1551.41,Yes
4561-LHZ,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,81.92,3939.2,No
7184-MKG,Female,0,No,No,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,68.83,415.12,Yes
4099-NNN,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.78,862.6,No
7278-OQU,Male,1,Yes,No,15,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),73.61,1105.54,No
9392-PTB,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,97.47,3596.74,No
4104-QWI,Male,1,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.04,3701.27,No
8215-RZP,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.77,2569.93,Yes
3454-SCW,Female,0,No,No,16,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,66.67,1059.25,No
9996-TFD,Male,1,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),79.85,1519.51,No
3731-UIK,Female,1,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,60.22,1436.02,No
9154-VLR,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.86,5713.22,Yes
6056-WOY,Female,0,No,Yes,37,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,74.08,2745.26,No
9110-XRF,Female,0,Yes,No,62,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.22,4718.95,No
4840-YUM,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.07,916.23,No
2028-ZXT,Female,1,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.61,1298.5,No
8385-AAA,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.23,449.45,No
1502-BDH,Female,0,Yes,Yes,31,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.19,2988.5,Yes
7910-CGO,Female,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,89.6,2417.88,No
7938-DJV,Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,86.38,960.0,No
5488-EMC,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.31,395.3,No
1206-FPJ,Male,0,No,Yes,14,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,51.27,726.14,Yes
6134-GSQ,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,76.7,843.26,Yes
6977-HVX,Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,56.32,176.35,Yes
8721-IYE,Male,0,Yes,Yes,34,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),58.76,2003.37,No
8035-JBL,Male,0,Yes,Yes,60,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.47,3328.35,No
2484-KES,Female,0,Yes,Yes,26,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),76.49,1990.69,No
8858-LHZ,Male,1,Yes,Yes,32,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),52.13,1663.75,No
1863-MKG,Male,0,No,No,12,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,54.79,659.0,No
3790-NNN,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),64.62,2325.98,No
8408-OQU,Male,1,No,No,43,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,83.86,3600.99,No
9755-PTB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,113.67,108.68,Yes
6116-QWI,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,99.84,3688.94,No
7019-RZP,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.53,742.58,No
2757-SCW,Male,0,No,No,58,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),62.54,3625.92,No
8574-TFD,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.1,1441.08,No
7374-UIK,Female,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.26,415.32,No
7892-VLR,Female,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.19,1041.91,Yes
2678-WOY,Female,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,88.12,5730.93,No
4242-XRF,Male,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.14,4525.33,Yes
5636-YUM,Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),87.68,5005.62,No
2059-ZXT,Male,0,Yes,Yes,34,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),75.52,2565.46,Yes
7668-AAA,Female,1,No,Yes,57,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.77,2554.1,No
4157-BDH,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),94.27,563.81,No
6915-CGO,Male,0,Yes,Yes,8,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,54.14,439.2,No
3693-DJV,Male,1,Yes,No,68,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),53.53,3630.22,Yes
4627-EMC,Male,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),51.59,151.11,No
6450-FPJ,Female,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.63,676.97,No
2663-GSQ,Male,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.97,75.5,Yes
6592-HVX,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),95.33,5250.57,No
8392-IYE,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,99.41,5472.78,Yes
2306-JBL,Male,1,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,113.81,4897.03,No
7776-KES,Female,0,No,Yes,71,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,107.32,7611.99,Yes
6864-LHZ,Male,1,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,101.67,1210.31,No
8526-MKG,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.7,70.13,No
9901-NNN,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.62,1043.32,No
6575-OQU,Female,0,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.94,1346.69,Yes
6530-PTB,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.83, ,No
5413-QWI,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),95.48,6114.57,Yes
4748-RZP,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.96,895.81,Yes
1663-SCW,Female,0,No,No,60,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),81.43,4878.33,No
2998-TFD,Male,0,Yes,No,62,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,56.37,3485.08,Yes
8994-UIK,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.89,838.81,No
2495-VLR,Female,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.89,1554.91,No
4304-WOY,Male,1,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),104.77,4601.19,No
4763-XRF,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.85,1573.69,No
6232-YUM,Male,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),113.02,7572.13,No
2853-ZXT,Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,99.05,303.43,No
7585-AAA,Male,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),111.7,7810.38,Yes
2291-BDH,Female,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.8,1080.92,Yes
4581-CGO,Male,0,No,Yes,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.13,642.63,No
8554-DJV,Female,1,No,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.17,1074.09,No
8280-EMC,Male,0,No,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),92.31,5452.02,No
2636-FPJ,Female,0,Yes,Yes,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.19,4232.8,No
4696-GSQ,Male,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,114.32,3666.14,Yes
1698-HVX,Male,1,Yes,No,57,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,49.42,2823.77,No
5737-IYE,Female,0,No,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),112.39,5292.08,No
1854-JBL,Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),101.8,399.76,Yes
9164-KES,Male,1,No,No,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,99.75,2599.25,Yes
6855-LHZ,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.15,3836.72,No
8392-MKG,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),55.99, ,No
7528-NNN,Female,0,Yes,No,50,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,68.92,3452.11,Yes
6249-OQU,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.47,319.82,Yes
6172-PTB,Male,1,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,658.28,No
2707-QWI,Male,0,No,Yes,46,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),70.29,3228.2,No
